ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day,CATEGORY_encoded,WHSEID_encoded,BRAND_encoded,Week_encoded
2023-01-09,MOONCAKE,BKD1,THU,-0.3843143857191572,-0.5250562315041446,1.Monday,9,2,0,13,0
2023-01-10,DRY,BKD1,RITZ,-0.28485005679830233,-0.4261545491017866,2.Tuesday,10,0,0,10,1
2023-01-10,DRY,BKD1,LU,-0.37197625331485273,-0.525037397170326,2.Tuesday,10,0,0,8,1
2023-01-10,DRY,BKD1,SLIDE,0.6882489550581147,1.5205109866204232,2.Tuesday,10,0,0,11,1
2023-01-10,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,2.Tuesday,10,2,0,14,1
2023-01-10,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,2.Tuesday,10,1,0,6,1
2023-01-10,TET,BKD1,HAMPER,-0.33349077108450287,0.8125561837451563,2.Tuesday,10,3,0,3,1
2023-01-10,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,2.Tuesday,10,1,0,5,1
2023-01-10,TET,BKD1,AFC,-0.35622140732166385,-0.25751573731993416,2.Tuesday,10,3,0,0,1
2023-01-10,TET,BKD1,COSY,-0.3456865404226038,-0.1529627212633445,2.Tuesday,10,3,0,2,1
2023-01-10,TET,BKD1,KOKO,-0.3871616470432275,-0.5250500652021379,2.Tuesday,10,3,0,7,1
2023-01-10,TET,BKD1,LU,-0.1813995620237491,0.5761609888857521,2.Tuesday,10,3,0,8,1
2023-01-10,TET,BKD1,OREO,-0.38905982125927435,-0.44132286682343497,2.Tuesday,10,3,0,9,1
2023-01-10,MOONCAKE,BKD1,THU,-0.3896292735240884,-0.5250673397420406,2.Tuesday,10,2,0,13,1
2023-01-10,TET,BKD1,SOLITE,-0.2764980902476962,-0.05293758571306118,2.Tuesday,10,3,0,12,1
2023-01-11,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,3.Wednesday,11,2,0,14,2
2023-01-11,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,3.Wednesday,11,1,0,5,2
2023-01-11,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,3.Wednesday,11,1,0,6,2
2023-01-11,DRY,BKD1,LU,0.038788647037685364,-0.39744377646270196,3.Wednesday,11,0,0,8,2
